Date,Open,High,Low,Close,Adj Close,Volume
2013-02-15,722.0,725.900024,715.325012,721.075012,604.519531,1820790.0
2013-02-18,720.049988,720.950012,710.0,712.674988,597.477112,952086.0
2013-02-19,710.799988,724.450012,706.349976,721.775024,605.10614,744294.0
2013-02-20,720.75,728.5,720.75,726.400024,608.983521,2261518.0
2013-02-21,720.349976,728.424988,720.349976,725.525024,608.25,3849146.0
2013-02-22,725.0,732.025024,721.150024,727.549988,609.947571,1310694.0
2013-02-25,726.5,737.5,725.75,736.849976,617.744324,1730030.0
2013-02-26,733.5,749.974976,733.0,748.200012,627.259644,2853670.0
2013-02-27,747.625,751.525024,738.650024,741.599976,621.726563,2556682.0
2013-02-28,743.125,762.5,742.625,758.5,635.894958,4599424.0
2013-03-01,757.549988,758.0,749.0,750.924988,629.54425,2537326.0
2013-03-04,745.5,759.950012,745.5,756.599976,634.302063,3136076.0
2013-03-05,758.5,771.5,754.299988,770.075012,645.598877,3440054.0
2013-03-06,768.075012,782.75,768.075012,780.599976,654.422546,2299510.0
2013-03-07,780.5,798.799988,779.674988,794.950012,666.452881,3908702.0
2013-03-08,795.0,797.825012,787.450012,791.575012,663.623474,4341502.0
2013-03-11,787.5,794.775024,778.325012,783.099976,656.518311,2221330.0
2013-03-12,779.0,783.974976,774.0,780.25,654.12915,1809452.0
2013-03-13,778.025024,779.349976,774.0,775.849976,650.440186,1794496.0
2013-03-14,778.5,788.5,771.900024,783.849976,657.147339,3051218.0
2013-03-15,786.0,790.200012,780.299988,785.125,658.216187,4212398.0
2013-03-18,779.924988,786.825012,777.200012,783.474976,656.832764,1694988.0
2013-03-19,782.25,782.25,770.224976,773.375,648.365417,3739910.0
2013-03-20,770.0,786.325012,769.974976,778.825012,652.934387,4168136.0
2013-03-21,781.5,787.200012,776.849976,779.974976,653.898499,1664604.0
2013-03-22,780.700012,781.049988,766.0,771.075012,646.437317,2714456.0
2013-03-25,774.25,776.0,764.200012,771.674988,646.940125,1857316.0
2013-03-26,770.049988,785.0,768.075012,778.174988,652.389526,1781536.0
2013-03-28,778.0,791.700012,770.825012,787.875,660.521484,3065662.0
2013-04-01,782.5,786.849976,775.625,778.424988,652.599182,968812.0
2013-04-02,778.0,785.599976,770.625,783.674988,657.000427,1130332.0
2013-04-03,785.0,787.5,765.5,771.700012,646.96106,959932.0
2013-04-04,770.049988,770.049988,750.5,753.900024,632.038452,1126338.0
2013-04-05,752.5,754.674988,742.049988,749.174988,628.077087,1865248.0
2013-04-08,749.450012,749.450012,737.5,740.375,620.699463,896416.0
2013-04-09,740.0,756.5,738.799988,748.700012,627.678833,1672354.0
2013-04-10,754.950012,769.450012,750.5,765.224976,641.532715,2046284.0
2013-04-11,770.0,775.049988,760.349976,768.450012,644.236572,2244658.0
2013-04-12,740.950012,762.25,739.174988,755.875,633.694092,5032060.0
2013-04-15,756.75,757.0,724.174988,736.224976,617.220276,5391496.0
2013-04-16,735.0,746.724976,728.974976,741.575012,621.705505,3071582.0
2013-04-17,747.5,749.5,715.5,728.325012,610.597412,5279004.0
2013-04-18,743.974976,747.450012,713.724976,726.375,608.962463,8554458.0
2013-04-22,723.0,729.900024,712.5,712.650024,597.456116,2962484.0
2013-04-23,712.224976,724.0,712.0,715.275024,599.656799,3384170.0
2013-04-25,715.275024,715.275024,699.325012,701.150024,587.815063,7929194.0
2013-04-26,696.5,696.724976,682.549988,684.674988,574.003235,4754076.0
2013-04-29,682.5,692.349976,682.5,685.375,574.589966,3968916.0
2013-04-30,684.0,691.0,682.5,689.200012,577.796814,4020570.0
2013-05-02,686.75,719.400024,686.75,716.950012,601.061157,5630326.0
2013-05-03,713.0,723.625,703.950012,709.25,594.605713,3641790.0
2013-05-06,710.0,736.200012,710.0,733.599976,615.019653,3727118.0
2013-05-07,733.549988,739.424988,728.700012,735.799988,616.864014,2260180.0
2013-05-08,736.0,743.900024,735.0,740.049988,620.427002,1768130.0
2013-05-09,741.599976,751.724976,741.5,749.224976,628.119019,1949700.0
2013-05-10,749.224976,755.450012,745.549988,747.950012,627.050232,1139714.0
2013-05-13,740.0,740.5,722.849976,725.799988,608.480408,1862498.0
2013-05-14,727.549988,735.275024,721.875,728.974976,611.142334,2250100.0
2013-05-15,729.049988,738.599976,725.0,735.775024,616.842957,3565926.0
2013-05-16,734.5,734.5,723.724976,727.025024,609.507507,2415652.0
2013-05-17,727.5,739.25,727.049988,736.900024,617.786438,2900200.0
2013-05-20,735.625,739.0,730.5,736.200012,617.199402,1385504.0
2013-05-21,732.5,751.0,732.5,746.424988,625.771729,1898432.0
2013-05-22,749.0,754.575012,746.150024,749.200012,628.097961,1846944.0
2013-05-23,747.5,763.375,739.174988,746.349976,625.70874,3063962.0
2013-05-24,750.0,751.474976,731.799988,734.775024,616.004761,1586612.0
2013-05-27,734.75,750.0,730.0,749.0,627.930237,2023864.0
2013-05-28,749.0,758.25,745.150024,757.049988,634.679199,1400254.0
2013-05-29,758.0,763.75,742.549988,748.674988,627.657898,1452038.0
2013-05-30,750.0,756.0,743.5,749.700012,628.517212,2408346.0
2013-05-31,745.5,754.625,738.375,749.224976,628.119019,1929868.0
2013-06-03,752.0,753.5,728.549988,734.700012,615.941833,3097612.0
2013-06-04,730.0,736.950012,725.075012,732.674988,614.244263,1305320.0
2013-06-05,730.549988,736.325012,726.349976,733.900024,615.271118,1728676.0
2013-06-06,726.849976,739.25,726.025024,735.375,622.016907,2540452.0
2013-06-07,735.049988,769.5,734.0,759.474976,642.401855,3550844.0
2013-06-10,762.525024,772.349976,759.549988,762.525024,644.981689,3360430.0
2013-06-11,765.099976,771.0,746.0,750.775024,635.04303,2205468.0
2013-06-12,747.049988,747.549988,731.025024,734.049988,620.895996,4805954.0
2013-06-13,730.0,732.0,717.549988,722.825012,611.401367,3151342.0
2013-06-14,724.0,728.625,715.5,725.349976,613.536987,3105996.0
2013-06-17,726.5,732.5,714.0,726.224976,614.277344,2584162.0
2013-06-18,727.5,730.0,720.075012,721.900024,610.619019,2291528.0
2013-06-19,727.450012,727.450012,711.775024,713.849976,603.809875,2139788.0
2013-06-20,710.5,716.575012,699.549988,702.25,593.998108,4172878.0
2013-06-21,704.400024,715.924988,704.0,711.125,601.505066,2848224.0
2013-06-24,707.5,717.049988,700.049988,705.349976,596.6203,1889164.0
2013-06-25,706.75,713.549988,690.349976,696.150024,588.83844,1860548.0
2013-06-26,698.450012,723.875,690.525024,718.849976,608.039307,2326488.0
2013-06-27,723.900024,748.5,721.0,745.950012,630.961487,3820678.0
2013-06-28,747.5,762.150024,729.099976,759.075012,642.063538,4817096.0
2013-07-01,756.0,758.349976,741.700012,746.174988,631.151978,1354652.0
2013-07-02,746.549988,754.25,743.325012,750.275024,634.619995,1657242.0
2013-07-03,748.849976,759.5,732.5,744.900024,630.073486,1530906.0
2013-07-04,745.424988,770.5,745.0,769.150024,650.585449,1917060.0
2013-07-05,771.0,779.0,761.0,765.099976,647.159607,1293012.0
2013-07-08,764.0,767.5,750.0,753.325012,637.199707,1658796.0
2013-07-09,747.650024,760.875,747.650024,752.450012,636.459656,1097326.0
2013-07-10,755.0,763.400024,749.0,755.974976,639.441345,1322624.0
2013-07-11,760.0,785.0,760.0,782.275024,661.687195,2335274.0
2013-07-12,797.5,812.400024,789.650024,804.924988,680.845459,3251536.0
2013-07-15,800.549988,823.650024,799.650024,820.875,694.336975,2060570.0
2013-07-16,812.5,833.174988,808.799988,824.674988,697.551086,2224986.0
2013-07-17,822.525024,842.474976,822.525024,839.25,709.879272,2999250.0
2013-07-18,840.0,846.150024,822.0,830.200012,702.224487,3445532.0
2013-07-19,859.5,879.5,850.0,871.400024,737.073547,8550804.0
2013-07-22,870.5,879.400024,864.150024,873.25,738.638367,2974772.0
2013-07-23,874.0,890.224976,871.799988,874.900024,740.033997,1646502.0
2013-07-24,874.25,896.0,872.5,891.400024,753.990601,2181644.0
2013-07-25,890.0,905.0,883.349976,897.875,759.467346,4088808.0
2013-07-26,897.5,899.474976,875.049988,887.25,750.480225,2379064.0
2013-07-29,879.0,897.299988,878.625,889.599976,754.167969,1774262.0
